Замена сальника привода;3820;570;;15
Замена кулисы АКПП;3250;360;;1
Замена тормозной жидкости;2200;360;;1
Ремонт компрессора кондиционера;4760;150;;25
Ремонт автоэлектрики;4230;450;;1
Наращивание ресниц;1430;40;;5
Замена лямбда зонда;770;270;;5
Кузовной ремонт;2750;150;;5
Замена подшипника задней ступицы;1860;270;;25
Замена масла в МКПП;4490;540;;2
Замена заднего сальника АКПП;1510;390;;25
Замена охлаждающей жидкости;1590;210;;0
Замена масла АКПП;2430;450;;25
Замена жидкости ГУР;2380;540;;2
Испанский массаж;2190;40;;25
Балансировка колес;4690;390;;25
Замена подшипника передней ступицы;4020;330;;15
Ремонт двигателя;2470;240;;25
Замена сцепления;4320;330;;0
Интенсивный курс с преподавателем-носителем португальского языка для компаний;1580;30;;0
Замена подшипника компрессора кондиционера;1110;330;;2
Диагностика рулевого редуктора;2930;180;;1
Замена фильтров;530;210;;15
Ремонт глушителя;2100;150;;25
Чистка форсунок ультразвуком;3920;240;;5
Замена масла заднего редуктора (моста);840;420;;25
Ремонт бензонасоса;500;210;;15
Антибактериальная обработка кондиционера;4580;450;;2
Замена ремня кондиционера;4650;480;;0
Ремонт и замена катализатора;500;270;;25
Ремонт карданного вала;780;210;;5
Установка сигнализации;1760;240;;0
Ремонт кронштейна глушителя;1410;570;;0
Замена трубки кондиционера;2810;180;;15
Диагностика подвески;1460;330;;0
Замена масла в вариаторе;4720;120;;5
Замена тормозных колодок;4260;480;;5
Покраска;2370;120;;15
Ремонт сцепления;3290;600;;25
Диагностика трансмиссии;2790;120;;2
Диагностика выхлопной системы автомобиля;2550;180;;25
Диагностика инжектора;3390;330;;5
Замена троса сцепления;4460;480;;5
Замена маховика;2400;600;;25
Ремонт стартера;2680;480;;0
Снятие/установка форсунок;1470;300;;25
Замена ремня привода ГУР;3350;600;;0
Замена свечей;2240;120;;1
Развал-схождение;3890;180;;0
Замена рулевой тяги;570;180;;0
